name,postcode,category,distance,latitude,longitude
Resto-bar Capucine - Nord-Est de Montréal,,Sports Bar,246.0,45.61749978312808,-73.60601127147675
Piano Bar la Belle Epoque,H1G 2V6,Cocktail Bar,661.0,45.61749978312808,-73.60601127147675
Cafe liana bar & grill,H1E 1M4,Bar,809.0,45.61749978312808,-73.60601127147675
La Veranda,H1G 2V5,Bar,960.0,45.61749978312808,-73.60601127147675
Le Saint Bock,H2X 3K4,Bar,132.0,45.516926210319546,-73.56425732374191
Le 4e Mur,H2X 3K8,Music Venue,132.0,45.516926210319546,-73.56425732374191
La Distillerie,H2X 1H6,Cocktail Bar,268.0,45.516926210319546,-73.56425732374191
Arcade MTL,H2X 3K8,Arcade,132.0,45.516926210319546,-73.56425732374191
Saint-Houblon,H2X 3K3,Bar,301.0,45.516926210319546,-73.56425732374191
Pub l'Ile Noire,H2X 3K4,Whisky Bar,208.0,45.516926210319546,-73.56425732374191
Cadet,H2X 2S8,Restaurant,741.0,45.516926210319546,-73.56425732374191
Brasserie Artisanale l'Amère a Boire Inc,H2X 3K8,Lounge,149.0,45.516926210319546,-73.56425732374191
Renard,H2L 2H2,Cocktail Bar,718.0,45.516926210319546,-73.56425732374191
Patrick'S Pub Irlandais,H2X 3K4,Irish Pub,158.0,45.516926210319546,-73.56425732374191
Brasserie l'Unik,,Bar,321.0,45.5129938566323,-73.68249848484993
Kana Taverne Ltée,H4L 1J4,Beer Garden,716.0,45.51473429416659,-73.69144901633263
Snookers Billiards,H4K 1N3,Pool Hall,634.0,45.52234149817879,-73.72167885303497
Broue Pub Brouhaha Papineau,H2B 2A1,Beer Bar,965.0,45.566869345371856,-73.64101678133011
Sauve Bar des Sportifs,H2B 1A3,Pool Hall,440.0,45.566869345371856,-73.64101678133011
Bar Brewskis,H2B 1J3,Dive Bar,924.0,45.566869345371856,-73.64101678133011
Resto-Bar Gelbison,H2B 1J9,Bar,951.0,45.566869345371856,-73.64101678133011
Monkees Resto Bar,H4E 3J2,Sports Bar,949.0,45.44791581215845,-73.58381867408752
Brasserie du Passant Inc,J4K 2T4,Bar,263.0,45.52331869398737,-73.52012693881989
Taverne Renaud,J4K 1C9,Bar,550.0,45.52331869398737,-73.52012693881989
Resto-pub Chez Vincent,J4H 1M6,Restaurant,609.0,45.53368199320325,-73.51526074111462
Bungalow Bar Salon,J4H 1E5,Bar,485.0,45.53368199320325,-73.51526074111462
Barachico,J4H 1E7,Night Club,414.0,45.53368199320325,-73.51526074111462
La Distillerie No.4,J4H 1C7,Cocktail Bar,796.0,45.53368199320325,-73.51526074111462
Brasserie Tremblay,J4H 3H9,Bar,976.0,45.53368199320325,-73.51526074111462
Joker Pub Ludique Longueuil,J4J 3W6,Pub,587.0,45.53722603812578,-73.49506705999374
Brasserie Tremblay,J4H 3H9,Bar,700.0,45.53722603812578,-73.49506705999374
Le 1286,J4J 3W6,Gay Bar,743.0,45.53722603812578,-73.49506705999374
Tastea,J4J 3X1,Bar,786.0,45.53722603812578,-73.49506705999374
Resto Bar le Surf,J4J 3X3,Bar,852.0,45.53722603812578,-73.49506705999374
Brasserie du Passant Inc,J4K 2T4,Bar,507.0,45.52841043752244,-73.51716578006744
Taverne Renaud,J4K 1C9,Bar,596.0,45.52841043752244,-73.51716578006744
Suite 903,H3E 2A5,Speakeasy,548.0,45.46714,-73.54259
Madame Smith,H1W 1T3,Lounge,370.0,45.55321884238814,-73.53978216648102
L'Espace Public-Brasseurs de Quartier,H1W 1R7,Bar,926.0,45.55321884238814,-73.53978216648102
Le Blind Pig,H1W 1S6,Bar,604.0,45.55321884238814,-73.53978216648102
Le Trèfle - Taverne Irlandaise,H1W 1T1,Pub,497.0,45.55321884238814,-73.53978216648102
Bar le Bureau,H1V 1Y1,Lounge,501.0,45.55321884238814,-73.53978216648102
Bar l'Assemblée,H1V 1Y3,Bar,519.0,45.55321884238814,-73.53978216648102
Taverne l'Escale,H1V 1Y6,Lounge,522.0,45.55321884238814,-73.53978216648102
Loupblond,H1V 1Z1,Bar,615.0,45.55321884238814,-73.53978216648102
Funki Munki,,Sports Bar,729.0,45.55321884238814,-73.53978216648102
Brasserie de Lasalle Enr,H1V 1K2,Beer Garden,168.0,45.55321884238814,-73.53978216648102
Bar Vegas Lounge,H3S 2B2,Bar,751.0,45.5057209331225,-73.62945914268494
