,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,RO32EAy8IfnWAm04vCPmzA,le-4e-mur-montréal,Le 4e Mur,https://s3-media2.fl.yelpcdn.com/bphoto/5FUAUP4srPLqVd-P7x_uzQ/o.jpg,False,https://www.yelp.com/biz/le-4e-mur-montr%C3%A9al?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,99,"[{'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.5,"{'latitude': 45.5161779, 'longitude': -73.5657819}",[],$$,"{'address1': '2021 Rue Saint-Denis', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2X 3K8', 'country': 'CA', 'state': 'QC', 'display_address': ['2021 Rue Saint-Denis', 'Montreal, QC H2X 3K8', 'Canada']}",+14383968947,+1 438-396-8947,145.03062584949998
1,3jKUbhGSjFTv5jZ0wnW0xA,les-deux-gamins-montréal-3,Les Deux Gamins,https://s3-media4.fl.yelpcdn.com/bphoto/MthdGDvhjtc_HCyDWiVGWw/o.jpg,False,https://www.yelp.com/biz/les-deux-gamins-montr%C3%A9al-3?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,595,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 45.51545, 'longitude': -73.57095}",['restaurant_reservation'],$$,"{'address1': '170 Rue Prince Arthur E', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2X 1B7', 'country': 'CA', 'state': 'QC', 'display_address': ['170 Rue Prince Arthur E', 'Montreal, QC H2X 1B7', 'Canada']}",+15142883389,+1 514-288-3389,546.8489417889465
2,EQCd_CUFrK_gSARL7s01fw,la-distillerie-no-1-montréal-7,La Distillerie No.1,https://s3-media2.fl.yelpcdn.com/bphoto/HEHvlXrk3jRwEmO-U3DVog/o.jpg,False,https://www.yelp.com/biz/la-distillerie-no-1-montr%C3%A9al-7?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,314,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 45.514822, 'longitude': -73.565401}",[],$$,"{'address1': '300 Rue Ontario E', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2X 1H6', 'country': 'CA', 'state': 'QC', 'display_address': ['300 Rue Ontario E', 'Montreal, QC H2X 1H6', 'Canada']}",+15144482461,+1 514-448-2461,250.37165232075566
3,XQDWifQPvL2R_c3ptJ8D2g,randolph-pub-ludique-montréal-6,Randolph Pub Ludique,https://s3-media1.fl.yelpcdn.com/bphoto/z5_6vyhgRT4zWfkwBk8gVA/o.jpg,False,https://www.yelp.com/biz/randolph-pub-ludique-montr%C3%A9al-6?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,96,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'social_clubs', 'title': 'Social Clubs'}, {'alias': 'breweries', 'title': 'Breweries'}]",4.5,"{'latitude': 45.5164298, 'longitude': -73.5660051}",[],$$,"{'address1': '2041 Rue Saint-Denis', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2X 3K8', 'country': 'CA', 'state': 'QC', 'display_address': ['2041 Rue Saint-Denis', 'Montreal, QC H2X 3K8', 'Canada']}",+15144195001,+1 514-419-5001,146.93874545198923
4,TgjgHz-QRrv60QKYZ-qmMg,les-3-brasseurs-montreal-13,Les 3 Brasseurs,https://s3-media3.fl.yelpcdn.com/bphoto/tPnOF-MXjfB9Ucd4xPhDyQ/o.jpg,False,https://www.yelp.com/biz/les-3-brasseurs-montreal-13?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,101,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}]",3.5,"{'latitude': 45.5149237507194, 'longitude': -73.5634950070926}",[],$$,"{'address1': '1658 St-Denis', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2X 3K6', 'country': 'CA', 'state': 'QC', 'display_address': ['1658 St-Denis', 'Montreal, QC H2X 3K6', 'Canada']}",+15148451660,+1 514-845-1660,230.44905728031412
5,SgLr6EzoWrIjgl5VpB07rA,pub-l-île-noire-montréal-3,Pub l'Île Noire,https://s3-media1.fl.yelpcdn.com/bphoto/cVI5Hw99H5--mRIAl2tCyw/o.jpg,False,https://www.yelp.com/biz/pub-l-%C3%AEle-noire-montr%C3%A9al-3?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,60,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,"{'latitude': 45.5153, 'longitude': -73.56326}",[],$$,"{'address1': '1649 Rue Saint-Denis', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2X 3K4', 'country': 'CA', 'state': 'QC', 'display_address': ['1649 Rue Saint-Denis', 'Montreal, QC H2X 3K4', 'Canada']}",+15149820866,+1 514-982-0866,202.07118682846024
6,Adq9HEkjkM5qMppiwa7OLg,cadet-montréal,Cadet,https://s3-media2.fl.yelpcdn.com/bphoto/T60o6HOhICxVEKdwoe_EzA/o.jpg,False,https://www.yelp.com/biz/cadet-montr%C3%A9al?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,113,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",4.5,"{'latitude': 45.5103, 'longitude': -73.564418}",[],$$$,"{'address1': '1431 Boulevard Saint-Laurent', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2X 2S8', 'country': 'CA', 'state': 'QC', 'display_address': ['1431 Boulevard Saint-Laurent', 'Montreal, QC H2X 2S8', 'Canada']}",+15149031631,+1 514-903-1631,736.9065123863892
7,JjupAcmP7-ytPG49j0fxfA,pub-quartier-latin-montréal-3,Pub Quartier Latin,https://s3-media3.fl.yelpcdn.com/bphoto/dKNaBrEOJGUbsxs0_jTXGg/o.jpg,False,https://www.yelp.com/biz/pub-quartier-latin-montr%C3%A9al-3?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,23,"[{'alias': 'pubs', 'title': 'Pubs'}]",4.0,"{'latitude': 45.51497, 'longitude': -73.56526}",[],$$,"{'address1': '318 Rue Ontario E', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2X 1H6', 'country': 'CA', 'state': 'QC', 'display_address': ['318 Rue Ontario E', 'Montreal, QC H2X 1H6', 'Canada']}",+15148453301,+1 514-845-3301,229.8113747522009
8,FnHjkukVo65hbHcBSqyMAg,onoir-montréal-2,Onoir,https://s3-media2.fl.yelpcdn.com/bphoto/fNXt7tZmVVOpyau8QRBygg/o.jpg,False,https://www.yelp.com/biz/onoir-montr%C3%A9al-2?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,122,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 45.515126, 'longitude': -73.571424}",[],$$$,"{'address1': '124 Rue Prince Arthur E', 'address2': '', 'address3': None, 'city': 'Montreal', 'zip_code': 'H2X 1B5', 'country': 'CA', 'state': 'QC', 'display_address': ['124 Rue Prince Arthur E', 'Montreal, QC H2X 1B5', 'Canada']}",+15149379727,+1 514-937-9727,593.1888826231567
9,svd-Hr6EmIWP2IjqNbplRQ,abreuvoir-bar-and-terrasse-montréal-2,Abreuvoir Bar & Terrasse,https://s3-media2.fl.yelpcdn.com/bphoto/whHvGVXlLhoU5NIQhkMNfQ/o.jpg,False,https://www.yelp.com/biz/abreuvoir-bar-and-terrasse-montr%C3%A9al-2?adjust_creative=gCLMEaUcIkZcTJs06krL1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gCLMEaUcIkZcTJs06krL1w,25,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]",4.0,"{'latitude': 45.51625, 'longitude': -73.56549}",[],$$,"{'address1': '403 Rue Ontario E', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2L 1N5', 'country': 'CA', 'state': 'QC', 'display_address': ['403 Rue Ontario E', 'Montreal, QC H2L 1N5', 'Canada']}",+15148435469,+1 514-843-5469,111.67498280616527
