name,postcode,category,review_count,rating,price,distance,latitude,longitude
Le 4e Mur,H2X 3K8,Bars,99.0,4.5,$$,145.03062584949998,45.516926210319546,-73.56425732374191
La Distillerie No.1,H2X 1H6,Cocktail Bars,314.0,4.5,$$,250.37165232075566,45.516926210319546,-73.56425732374191
Les Deux Gamins,H2X 1B7,Wine Bars,595.0,4.0,$$,546.8489417889465,45.516926210319546,-73.56425732374191
Les 3 Brasseurs,H2X 3K6,Bars,101.0,3.5,$$,230.44905728031412,45.516926210319546,-73.56425732374191
Randolph Pub Ludique,H2X 3K8,Bars,96.0,4.5,$$,146.93874545198923,45.516926210319546,-73.56425732374191
Pub l'Île Noire,H2X 3K4,Bars,60.0,4.0,$$,202.07118682846024,45.516926210319546,-73.56425732374191
Pub Quartier Latin,H2X 1H6,Bars,23.0,4.0,$$,229.8113747522009,45.516926210319546,-73.56425732374191
Cadet,H2X 2S8,Bars,113.0,4.5,$$$,736.9065123863892,45.516926210319546,-73.56425732374191
Onoir,H2X 1B5,Bars,122.0,4.5,$$$,593.1888826231567,45.516926210319546,-73.56425732374191
Abreuvoir Bar & Terrasse,H2L 1N5,Bars,25.0,4.0,$$,111.67498280616527,45.516926210319546,-73.56425732374191
Maison Saint-Paul,H2Y 1H2,Champagne Bars,99.0,4.5,$$$,1293.979871967896,45.516926210319546,-73.56425732374191
Bar Pamplemousse,H2X 2S9,Bars,44.0,4.0,,667.6233290400993,45.516926210319546,-73.56425732374191
Le Psy Bar,H2X 3K8,Bars,8.0,5.0,,164.0804396201379,45.516926210319546,-73.56425732374191
Le Red Tiger,H2L 2A1,Cocktail Bars,135.0,4.0,$$,560.6590292087409,45.516926210319546,-73.56425732374191
Ginkgo,H2X 1L7,Bars,75.0,4.0,$$,520.9609100952268,45.516926210319546,-73.56425732374191
Bistro à Jojo,H2X 3K3,Bars,22.0,4.0,$$,226.49513589259624,45.516926210319546,-73.56425732374191
Pullman,H2X 2H5,Wine Bars,204.0,4.0,$$,1115.7769353596286,45.516926210319546,-73.56425732374191
Ye Olde Orchard,H2X 1S3,Bars,53.0,4.0,$$,759.1305301187614,45.516926210319546,-73.56425732374191
Bootlegger l'Authentique,H2X 2T6,Cocktail Bars,43.0,4.5,$$,648.051735267537,45.516926210319546,-73.56425732374191
Café Gitana,H2X 3K7,Hookah Bars,61.0,3.5,$$,187.74055172179766,45.516926210319546,-73.56425732374191
District 961,H4L 2A6,Bars,9.0,4.0,,441.1953235639151,45.5129938566323,-73.68249848484993
L'Unik Resto Brasserie,H4L,Bars,1.0,5.0,$$,319.3828962364092,45.5129938566323,-73.68249848484993
District 961,H4L 2A6,Bars,9.0,4.0,,602.8031506870415,45.51473429416659,-73.69144901633263
L'Unik Resto Brasserie,H4L,Bars,1.0,5.0,$$,1041.5645869945452,45.51473429416659,-73.69144901633263
Broue Pub Brouhaha,H2B 2A1,Bars,9.0,4.0,$$,955.223557727946,45.566869345371856,-73.64101678133011
Cafe Diablo,H1Z 3H2,Sports Bars,2.0,4.0,,1027.3985463416493,45.566869345371856,-73.64101678133011
Monkee's,H4E,Bars,4.0,4.5,$,948.1929732322834,45.44791581215845,-73.58381867408752
L'Gros Luxe,J4H 1E1,Cocktail Bars,29.0,3.0,$$,619.9722708992272,45.53368199320325,-73.51526074111462
Bungalow Bar Salon,J4H 1E5,Bars,3.0,3.0,$$,486.3388519795239,45.53368199320325,-73.51526074111462
Barachico,J4H 1C6,Bars,4.0,3.5,,910.7972911860519,45.53368199320325,-73.51526074111462
Le Joker pub ludique,J4J 1J9,Bars,2.0,4.5,,591.0634857835105,45.53722603812578,-73.49506705999374
Bungalow Bar Salon,J4H 1E5,Bars,3.0,3.0,$$,1073.5056353677364,45.52841043752244,-73.51716578006744
Le Trèfle,H1W 1T1,Whiskey Bars,35.0,4.0,$$,495.8428056628778,45.55321884238814,-73.53978216648102
Madame Smith,H1W 1T3,Bars,5.0,3.5,,374.2680069136415,45.55321884238814,-73.53978216648102
Le Blind Pig,H1W 1S6,Bars,25.0,3.5,$$,597.8666030380338,45.55321884238814,-73.53978216648102
El Jumelgi,H1W 2G5,Sports Bars,1.0,4.0,$,808.2672791081438,45.55321884238814,-73.53978216648102
Supernat,H1V 1X9,Wine Bars,1.0,5.0,,526.3825485540362,45.55321884238814,-73.53978216648102
Resto-Bar le Pick Up,H1W 1S3,Wine Bars,2.0,4.0,,802.1383029313107,45.55321884238814,-73.53978216648102
Les Jus Kanasuk,H1W 1R6,Bars,2.0,3.5,,1046.9102603333965,45.55321884238814,-73.53978216648102
McCarold's,H3T 1Y5,Bars,54.0,3.5,$$,1092.988764530911,45.5057209331225,-73.62945914268494
Zeppelin,H3T 1M1,Cocktail Bars,9.0,4.0,,1073.9675595608155,45.5057209331225,-73.62945914268494
Posher,H3T 1Y7,Sushi Bars,24.0,3.0,,1087.5836460769285,45.5057209331225,-73.62945914268494
La Retenue,H3T 1Y8,Bars,1.0,4.0,$,869.9068361520931,45.5057209331225,-73.62945914268494
La Maisonnee,H3T 1X2,Bars,8.0,3.0,$$,1063.984550678165,45.5057209331225,-73.62945914268494
La Brunante,H3T 1N8,Bars,2.0,3.0,$,1163.5549441128587,45.5057209331225,-73.62945914268494
Ichigo Ichie,H2W 1E9,Bars,116.0,4.5,$$,769.1806553863977,45.52689,-73.57264
Barranco MTL,H2J 2L3,Tapas Bars,61.0,4.5,,926.6250270401974,45.52689,-73.57264
Le Rouge Gorge,H2J 1Y2,Wine Bars,32.0,4.5,$$,483.68592513262405,45.52689,-73.57264
L’Entrepôt - Mont-Royal,H2J 1X7,Bars,137.0,4.0,$,558.626190123115,45.52689,-73.57264
India Rosa,H2J 1Y2,Cocktail Bars,102.0,4.0,,511.24571144654345,45.52689,-73.57264
Barraca,H2J 1X8,Tapas Bars,62.0,3.5,$$,490.24985867300376,45.52689,-73.57264
Chez Victoire,H2J 1Z1,Wine Bars,64.0,4.0,$$$,557.2811373149991,45.52689,-73.57264
